,date,qtr,eps,surprise
0,8/3/20,Q2 20,+0.66,+0.16
1,5/4/20,Q1 20,+0.11,-0.61
2,2/13/20,Q4 19,+1.03,+0.03
3,11/1/19,Q3 19,+0.56,-0.44
4,8/7/19,Q2 19,+1.43,+0.28
5,5/6/19,Q1 19,+1.58,+0.52
6,2/13/19,Q4 18,+0.63,+0.21
7,10/31/18,Q3 18,-0.34,-0.46
8,8/2/18,Q2 18,+1.05,-0.16
9,5/2/18,Q1 18,+1.04,-0.23
10,2/8/18,Q4 17,+0.57,-0.18
11,11/2/17,Q3 17,-1.22,-0.53
12,8/2/17,Q2 17,+1.53,+0.33
13,5/3/17,Q1 17,+1.36,+0.28
14,2/14/17,Q4 16,-2.72,-3.90
15,11/2/16,Q3 16,+1.10,-0.08
16,8/2/16,Q2 16,+0.98,+0.05
17,5/2/16,Q1 16,+0.65,-0.35
18,2/11/16,Q4 15,-1.10,-0.19
19,11/2/15,Q3 15,+1.03,0.00
20,8/3/15,Q2 15,+1.39,+0.18
21,4/30/15,Q1 15,+1.22,+0.03
22,2/12/15,Q4 14,+0.97,-0.08
23,11/3/14,Q3 14,+1.21,+0.12
24,8/4/14,Q2 14,+1.25,+0.19
25,5/5/14,Q1 14,+1.21,+0.14
26,2/13/14,Q4 13,+1.34,+0.38
27,10/31/13,Q3 13,+0.96,0.00
28,8/1/13,Q2 13,+1.12,+0.26
29,5/2/13,Q1 13,+1.34,+0.47
30,2/21/13,Q4 12,+0.20,+0.28
31,11/1/12,Q3 12,+1.00,+0.14
32,8/2/12,Q2 12,+1.06,+0.43
33,5/3/12,Q1 12,+1.65,+0.52
34,2/23/12,Q4 11,+0.82,+0.21
35,11/3/11,Q3 11,-1.60,-1.33
36,8/4/11,Q2 11,+0.69,-0.23
37,5/5/11,Q1 11,-1.41,-1.26
38,2/24/11,Q4 10,+13.60,+30.58
39,11/5/10,Q3 10,-3.97,-5.32
