No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,32.01B,47.64,105.43,0.00%,"171,486"
3,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.55B,-,12.37,-4.26%,"29,021,842"
5,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,254.45M,-,11.48,0.70%,"56,276"
7,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.97B,24.06,157.24,0.63%,"115,719"
9,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.55B,34.33,25.37,-3.02%,"20,329"
11,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.75B,-,67.40,0.06%,"55,389"
13,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,6.17B,-,100.01,0.84%,"72,810"
15,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,57.64B,40.63,26.82,-0.74%,"211,025"
17,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,20.11B,12.80,96.55,-0.32%,"127,385"
19,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,110.21M,-,1.30,0.14%,"360,855"
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.38B,-,12.54,-0.40%,"1,678,329"
4,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,4.04B,-,59.99,1.52%,"190,743"
6,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.37B,49.57,64.31,-1.50%,"27,871"
8,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2091.18B,37.82,123.50,-0.73%,"74,221,498"
10,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,89.86M,-,0.80,-3.72%,"85,979"
12,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,80.47,-0.57%,"237,523"
14,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.03B,11.94,31.68,-0.85%,"180,033"
16,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,155.23B,19.43,88.08,-0.27%,"1,862,131"
18,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,1.88B,13.70,25.59,-3.12%,"50,056"
20,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,39.65B,14.32,2.45,-2.58%,"2,646,716"
21,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.20B,13.87,112.36,-1.02%,"14,593"
23,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,12.41B,79.86,275.79,-0.74%,"40,053"
25,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,194.63B,64.23,109.06,-1.79%,"947,844"
27,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,253.32M,-,3.27,2.51%,"480,652"
29,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.92B,-,43.18,0.14%,"94,771"
31,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,5.18B,46.90,36.63,-1.86%,"500,096"
33,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,621.43M,7.67,6.58,-0.75%,"65,512"
35,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,34.24M,-,2.87,0.00%,"19,529"
37,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,246.56M,-,13.82,1.21%,"12,044"
39,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.57B,-,5.53,-0.90%,"15,653"
22,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.51B,-,37.10,-0.13%,"62,345"
24,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.35B,24.18,11.79,-0.67%,"172,051"
26,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,545.20M,14.25,26.02,-3.31%,"1,808"
28,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.37B,20.18,47.60,-2.97%,"32,966"
30,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,605.21M,23.06,4.80,-3.61%,"4,466,904"
32,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.03B,-,41.96,2.84%,"36,118"
34,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.01B,-,10.83,-2.17%,"38,090"
